"Product Title","Product ID","Variant Title","Variant Option #1 Name","Variant Option #1 Value","Variant Option #2 Name","Variant Option #2 Value","Product UID","File URL","Production Partners",SKU
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - XL, Choose Your Option Red Gradient","Color - Talla","Negro - XL","Choose Your Option","Red Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_xl_gco_black_gpr_4-0_gildan_64000l,,,2ee19af2_31
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - XL, Choose Your Option Blue Gradient","Color - Talla","Negro - XL","Choose Your Option","Blue Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_xl_gco_black_gpr_4-0_gildan_64000l,,,1df837b0_23
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - L, Choose Your Option Fuchsia Gradient","Color - Talla","Negro - L","Choose Your Option","Fuchsia Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_l_gco_black_gpr_4-0_gildan_64000l,,,aea5f872_26
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - L, Choose Your Option Yellow Gradient","Color - Talla","Negro - L","Choose Your Option","Yellow Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_l_gco_black_gpr_4-0_gildan_64000l,,,c3ffdc42_38
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - S, Choose Your Option Blue Gradient","Color - Talla","Negro - S","Choose Your Option","Blue Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_s_gco_black_gpr_4-0_gildan_64000l,,,dc8263ad_20
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - XL, Choose Your Option Fuchsia Gradient","Color - Talla","Blanco - XL","Choose Your Option","Fuchsia Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_xl_gco_white_gpr_4-0_gildan_64000l,,,8905d5c9_7
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - L, Choose Your Option Orange Gradient","Color - Talla","Blanco - L","Choose Your Option","Orange Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_l_gco_white_gpr_4-0_gildan_64000l,,,df208aa5_14
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - S, Choose Your Option Fuchsia Gradient","Color - Talla","Negro - S","Choose Your Option","Fuchsia Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_s_gco_black_gpr_4-0_gildan_64000l,,,ea26439f_24
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - L, Choose Your Option Fuchsia Gradient","Color - Talla","Blanco - L","Choose Your Option","Fuchsia Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_l_gco_white_gpr_4-0_gildan_64000l,,,db16b415_6
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - M, Choose Your Option Red Gradient","Color - Talla","Negro - M","Choose Your Option","Red Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_m_gco_black_gpr_4-0_gildan_64000l,,,62346fdd_29
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - L, Choose Your Option Red Gradient","Color - Talla","Blanco - L","Choose Your Option","Red Gradient",,,,b8e7c08e_10
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - XL, Choose Your Option Yellow Gradient","Color - Talla","Blanco - XL","Choose Your Option","Yellow Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_xl_gco_white_gpr_4-0_gildan_64000l,,,e510ae33_19
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - M, Choose Your Option Fuchsia Gradient","Color - Talla","Negro - M","Choose Your Option","Fuchsia Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_m_gco_black_gpr_4-0_gildan_64000l,,,a1e30a95_25
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - M, Choose Your Option Orange Gradient","Color - Talla","Negro - M","Choose Your Option","Orange Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_m_gco_black_gpr_4-0_gildan_64000l,,,72601217_33
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - L, Choose Your Option Blue Gradient","Color - Talla","Blanco - L","Choose Your Option","Blue Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_l_gco_white_gpr_4-0_gildan_64000l,,,9773f4f6_2
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - XL, Choose Your Option Fuchsia Gradient","Color - Talla","Negro - XL","Choose Your Option","Fuchsia Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_xl_gco_black_gpr_4-0_gildan_64000l,,,f9f363b0_27
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - S, Choose Your Option Yellow Gradient","Color - Talla","Blanco - S","Choose Your Option","Yellow Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_s_gco_white_gpr_4-0_gildan_64000l,,,9e57e3a8_16
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - M, Choose Your Option Red Gradient","Color - Talla","Blanco - M","Choose Your Option","Red Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_m_gco_white_gpr_4-0_gildan_64000l,,,bc1402ca_9
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - XL, Choose Your Option Orange Gradient","Color - Talla","Negro - XL","Choose Your Option","Orange Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_xl_gco_black_gpr_4-0_gildan_64000l,,,2be11142_35
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - XL, Choose Your Option Yellow Gradient","Color - Talla","Negro - XL","Choose Your Option","Yellow Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_xl_gco_black_gpr_4-0_gildan_64000l,,,227f8422_39
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - S, Choose Your Option Orange Gradient","Color - Talla","Blanco - S","Choose Your Option","Orange Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_s_gco_white_gpr_4-0_gildan_64000l,,,e0a3595e_12
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - S, Choose Your Option Fuchsia Gradient","Color - Talla","Blanco - S","Choose Your Option","Fuchsia Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_s_gco_white_gpr_4-0_gildan_64000l,,,e1e6016f_4
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Negro - L, Choose Your Option Red Gradient","Color - Talla","Negro - L","Choose Your Option","Red Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_l_gco_black_gpr_4-0_gildan_64000l,,,ffcd6def_30
"Austen - Looking For My Darcy - Gradient",4391668615,"Color - Talla Blanco - M, Choose Your Option Fuchsia Gradient","Color - Talla","Blanco - M","Choose Your Option","Fuchsia Gradient",apparel_product_gca_t-shirt_gsc_crewneck_gcu_womens_gqa_classic_gsi_m_gco_white_gpr_4-0_gildan_64000l,,,14237e37_5
